Domain_Code;Name;Second_Name
00001;Capital;Capital
00004;ICAAP;ICAAP
00005;Management Control;Control de Gestion
00006;Stress Test;Stress Test
00007;FinREP;FinREP
00009;IFRS9;IFRS9
00010;ALM;ALM
00011;Markets;Mercado
00012;Operational & Conduct;Operacional y Conducta
00013;Credit Risk;Credit Risk
